"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"15424-9524","PG","Stephen","Curry","47.94303797468354","79","10600","HOU@GS","GS","HOU","O","Knee","",""
"15424-9644","SG","James","Harden","47.575609756097556","82","10500","HOU@GS","HOU","GS","","","",""
"15424-9623","PG","Chris","Paul","41.36486486486486","74","9500","POR@LAC","LAC","POR","O","Hand","",""
"15424-15860","PF","Draymond","Green","38.9604938271605","81","8800","HOU@GS","GS","HOU","","","",""
"15424-9560","PF","Blake","Griffin","38.965714285714284","35","8600","POR@LAC","LAC","POR","O","Quadriceps","",""
"15424-12363","C","Hassan","Whiteside","35.75342465753425","73","8300","CHA@MIA","MIA","CHA","","","",""
"15424-14507","PG","Kemba","Walker","35.9","81","8200","CHA@MIA","CHA","MIA","","","",""
"15424-20848","PG","Damian","Lillard","39.37866666666667","75","8000","POR@LAC","POR","LAC","","","",""
"15424-9561","C","DeAndre","Jordan","35.51688311688312","77","8000","POR@LAC","LAC","POR","","","",""
"15424-9585","SG","Dwyane","Wade","31.43783783783784","74","7700","CHA@MIA","MIA","CHA","","","",""
"15424-14509","SG","Klay","Thompson","30.839999999999996","80","7600","HOU@GS","GS","HOU","","","",""
"15424-9718","PF","Chris","Bosh","32.679245283018865","53","7000","CHA@MIA","MIA","CHA","O","Calf","",""
"15424-9660","C","Dwight","Howard","32.71830985915493","71","6900","HOU@GS","HOU","GS","","","",""
"15424-19067","SG","C.J.","McCollum","31.653750000000002","80","6900","POR@LAC","POR","LAC","","","",""
"15424-9809","SF","Nicolas","Batum","31.072857142857142","70","6900","CHA@MIA","CHA","MIA","GTD","Ankle","",""
"15424-9479","PF","Luol","Deng","24.02162162162162","74","6600","CHA@MIA","MIA","CHA","","","",""
"15424-9673","PG","Goran","Dragic","27.359722222222224","72","6400","CHA@MIA","MIA","CHA","","","",""
"15424-15590","C","Mason","Plumlee","24.31219512195122","82","6100","POR@LAC","POR","LAC","","","",""
"15424-12342","SF","Al-Farouq","Aminu","21.64390243902439","82","6000","POR@LAC","POR","LAC","","","",""
"15424-9609","C","Al","Jefferson","24.174468085106383","47","5700","CHA@MIA","CHA","MIA","","","",""
"15424-9538","SF","Trevor","Ariza","24.755555555555556","81","5500","HOU@GS","HOU","GS","","","",""
"15424-16178","SF","Maurice","Harkless","13.33974358974359","78","5100","POR@LAC","POR","LAC","","","",""
"15424-9451","SF","Marvin","Williams","24.027160493827157","81","5000","CHA@MIA","CHA","MIA","","","",""
"15424-12474","PG","Patrick","Beverley","21.232394366197184","71","4800","HOU@GS","HOU","GS","GTD","Hamstring","",""
"15424-9448","SG","Jamal","Crawford","20.044303797468356","79","4800","POR@LAC","LAC","POR","","","",""
"15424-12443","SG","Jeremy","Lin","20.77051282051282","78","4800","CHA@MIA","CHA","MIA","","","",""
"15424-9447","SF","Joe","Johnson","22.103703703703705","81","4700","CHA@MIA","MIA","CHA","","","",""
"15424-9643","PG","Shaun","Livingston","14.567948717948717","78","4400","HOU@GS","GS","HOU","","","",""
"15424-15946","SF","Harrison","Barnes","20.977272727272727","66","4400","HOU@GS","GS","HOU","","","",""
"15424-9601","C","Andrew","Bogut","20.27714285714286","70","4300","HOU@GS","GS","HOU","","","",""
"15424-9664","SF","Andre","Iguodala","18.555384615384614","65","4300","HOU@GS","GS","HOU","","","",""
"15424-15691","C","Cody","Zeller","20.034246575342465","73","4300","CHA@MIA","CHA","MIA","","","",""
"15424-9655","SG","J.J.","Redick","20.904","75","4200","POR@LAC","LAC","POR","","","",""
"15424-15592","PG","Austin","Rivers","14.186567164179104","67","4000","POR@LAC","LAC","POR","","","",""
"15424-16233","SG","Josh","Richardson","12.805769230769231","52","4000","CHA@MIA","MIA","CHA","","","",""
"15424-9615","SG","Courtney","Lee","17.27848101265823","79","3800","CHA@MIA","CHA","MIA","","","",""
"15424-9648","SF","Jeff","Green","20.5925","80","3800","POR@LAC","LAC","POR","","","",""
"15424-9587","SF","Michael","Beasley","20.630000000000003","20","3800","HOU@GS","HOU","GS","","","",""
"15424-12365","PF","Ed","Davis","19.392592592592592","81","3700","POR@LAC","POR","LAC","","","",""
"15424-14519","PF","Donatas","Motiejunas","11.413513513513513","37","3700","HOU@GS","HOU","GS","","","",""
"15424-16448","PF","Frank","Kaminsky","15.54320987654321","81","3600","CHA@MIA","CHA","MIA","","","",""
"15424-9671","PF","Marreese","Speights","12.920833333333333","72","3600","HOU@GS","GS","HOU","","","",""
"15424-58084","SF","Justise","Winslow","16.103846153846153","78","3500","CHA@MIA","MIA","CHA","","","",""
"15424-9496","PG","Jason","Terry","10.198611111111111","72","3500","HOU@GS","HOU","GS","","","",""
"15424-42664","PG","Aaron","Harrison","2.238095238095238","21","3500","CHA@MIA","CHA","MIA","","","",""
"15424-42661","PF","Noah","Vonleh","9.615384615384615","78","3500","POR@LAC","POR","LAC","","","",""
"15424-17747","SG","Ian","Clark","6.524242424242424","66","3500","HOU@GS","GS","HOU","","","",""
"15424-9490","C","Anderson","Varejao","7.352830188679245","53","3500","HOU@GS","GS","HOU","","","",""
"15424-23776","PF","Montrezl","Harrell","6.935897435897436","39","3500","HOU@GS","HOU","GS","","","",""
"15424-9606","SF","Corey","Brewer","13.66219512195122","82","3500","HOU@GS","HOU","GS","","","",""
"15424-9782","SF","Dorell","Wright","0","0","3500","CHA@MIA","MIA","CHA","","","",""
"15424-15532","SF","K.J.","McDaniels","4.416216216216216","37","3500","HOU@GS","HOU","GS","","","",""
"15424-16411","SG","C.J.","Wilcox","5.278260869565218","23","3500","POR@LAC","LAC","POR","","","",""
"15424-9778","PF","Josh","McRoberts","9.94047619047619","42","3500","CHA@MIA","MIA","CHA","","","",""
"15424-12354","C","Cole","Aldrich","15.243333333333332","60","3500","POR@LAC","LAC","POR","","","",""
"15424-15757","PF","Terrence","Jones","16.474","50","3500","HOU@GS","HOU","GS","","","",""
"15424-14545","PG","Andrew","Goudelock","4.925","8","3500","HOU@GS","HOU","GS","","","",""
"15424-18600","PG","Tyler","Johnson","16.452777777777776","36","3500","CHA@MIA","MIA","CHA","GTD","Shoulder","",""
"15424-23757","PG","Brian","Roberts","6.592156862745098","51","3500","POR@LAC","POR","LAC","","","",""
"15424-15503","PG","Jorge","Gutierrez","4.658333333333333","12","3500","CHA@MIA","CHA","MIA","","","",""
"15424-15501","SG","Allen","Crabbe","16.465432098765433","81","3500","POR@LAC","POR","LAC","","","",""
"15424-55059","PF","Clint","Capela","18.796103896103894","77","3500","HOU@GS","HOU","GS","","","",""
"15424-9680","PF","Amar'e","Stoudemire","13.075","52","3500","CHA@MIA","MIA","CHA","","","",""
"15424-9563","C","Chris","Kaman","5.33125","16","3500","POR@LAC","POR","LAC","","","",""
"15424-15955","PF","James Michael","McAdoo","5.660975609756098","41","3500","HOU@GS","GS","HOU","","","",""
"15424-16331","C","Festus","Ezeli","16.83478260869565","46","3500","HOU@GS","GS","HOU","","","",""
"15424-9849","SG","Gerald","Green","13.936231884057971","69","3500","CHA@MIA","MIA","CHA","","","",""
"15424-9549","SG","Brandon","Rush","9.176388888888889","72","3500","HOU@GS","GS","HOU","","","",""
"15424-9551","PF","Tyler","Hansbrough","5.654545454545455","44","3500","CHA@MIA","CHA","MIA","","","",""
"15424-15858","PF","Branden","Dawson","1.9666666666666668","6","3500","POR@LAC","LAC","POR","","","",""
"15424-58576","PF","Kevon","Looney","4","5","3500","HOU@GS","GS","HOU","O","Hip","",""
"15424-58150","PF","Cliff","Alexander","2.775","8","3500","POR@LAC","POR","LAC","","","",""
